# Iteration, avehdxdev, chisquare, lambdamod, deltalambdamod, rate, Bh, Bc, work 
10400 2.26872821278e-05 6.3716039936e-09 6.59419631805 1.67874105953e-07 0.000141851701533 2.0 0.35 2.54403874632
10500 2.26868035916e-05 6.36497616259e-09 6.59430523118 1.62535620126e-07 0.000141854693633 2.0 0.35 2.54404974248
10600 2.26863403382e-05 6.35854800869e-09 6.59441068265 1.57367223199e-07 0.000141857590295 2.0 0.35 2.54406043198
10700 2.26858918642e-05 6.35231298326e-09 6.5945127826 1.52363396624e-07 0.000141860394657 2.0 0.35 2.54407082358
10800 2.26854576832e-05 6.34626477619e-09 6.59461163762 1.47518809118e-07 0.000141863109748 2.0 0.35 2.54408092578
10900 2.26850373262e-05 6.34039730606e-09 6.59470735085 1.42828309169e-07 0.000141865738492 2.0 0.35 2.54409074684
11000 2.26846303406e-05 6.33470471055e-09 6.59480002211 1.38286919848e-07 0.000141868283709 2.0 0.35 2.5441002948
11100 2.26842362891e-05 6.32918133743e-09 6.59488974799 1.3388982863e-07 0.000141870748126 2.0 0.35 2.54410957744
11200 2.26838547498e-05 6.32382173605e-09 6.59497662198 1.29632386651e-07 0.000141873134372 2.0 0.35 2.54411860235
11300 2.2683485315e-05 6.3186206491e-09 6.59506073456 1.25510099086e-07 0.00014187544499 2.0 0.35 2.54412737686
11400 2.26831275912e-05 6.3135730048e-09 6.5951421733 1.21518619837e-07 0.000141877682434 2.0 0.35 2.54413590813
11500 2.2682781198e-05 6.30867390957e-09 6.59522102298 1.17653747837e-07 0.000141879849076 2.0 0.35 2.54414420309
11600 2.26824457682e-05 6.3039186409e-09 6.59529736563 1.13911420538e-07 0.000141881947207 2.0 0.35 2.54415226849
11700 2.26821209469e-05 6.29930264064e-09 6.59537128068 1.10287710898e-07 0.000141883979039 2.0 0.35 2.54416011085
11800 2.26818063911e-05 6.29482150852e-09 6.59544284501 1.06778818848e-07 0.000141885946715 2.0 0.35 2.54416773655
11900 2.26815017693e-05 6.29047099603e-09 6.59551213304 1.03381071256e-07 0.0001418878523 2.0 0.35 2.54417515176
12000 2.26812067614e-05 6.28624700057e-09 6.59557921682 1.00090914877e-07 0.000141889697795 2.0 0.35 2.54418236247
12100 2.26809210578e-05 6.28214555985e-09 6.59564416608 9.69049126829e-08 0.000141891485129 2.0 0.35 2.5441893745
12200 2.26806443593e-05 6.27816284651e-09 6.59570704836 9.38197405974e-08 0.000141893216172 2.0 0.35 2.54419619351
12300 2.26803763764e-05 6.27429516298e-09 6.59576792901 9.08321826114e-08 0.000141894892729 2.0 0.35 2.544202825
12400 2.26801168296e-05 6.27053893662e-09 6.59582687133 8.79391272534e-08 0.000141896516547 2.0 0.35 2.5442092743
12500 2.26798654483e-05 6.26689071505e-09 6.59588393658 8.51375641933e-08 0.000141898089313 2.0 0.35 2.54421554659
12600 2.26796219712e-05 6.26334716165e-09 6.5959391841 8.24245823304e-08 0.00014189961266 2.0 0.35 2.5442216469
12700 2.26793861453e-05 6.25990505121e-09 6.59599267133 7.97973631699e-08 0.000141901088168 2.0 0.35 2.54422758013
12800 2.26791577262e-05 6.25656126594e-09 6.59604445386 7.72531809337e-08 0.000141902517362 2.0 0.35 2.54423335101
12900 2.26789364772e-05 6.25331279141e-09 6.59609458556 7.47893968826e-08 0.000141903901721 2.0 0.35 2.54423896417
13000 2.26787221697e-05 6.25015671282e-09 6.59614311856 7.2403458084e-08 0.000141905242673 2.0 0.35 2.54424442407
13100 2.26785145825e-05 6.24709021147e-09 6.59619010335 7.00928945642e-08 0.000141906541599 2.0 0.35 2.54424973506
13200 2.26783135015e-05 6.24411056112e-09 6.59623558881 6.785531552e-08 0.000141907799836 2.0 0.35 2.54425490137
13300 2.26781187196e-05 6.24121512479e-09 6.59627962229 6.56884063396e-08 0.000141909018679 2.0 0.35 2.5442599271
13400 2.26779300366e-05 6.23840135154e-09 6.59632224961 6.35899283168e-08 0.000141910199379 2.0 0.35 2.54426481623
13500 2.26777472588e-05 6.23566677338e-09 6.59636351516 6.15577141925e-08 0.000141911343145 2.0 0.35 2.54426957262
13600 2.26775701986e-05 6.23300900234e-09 6.59640346193 5.9589665179e-08 0.000141912451149 2.0 0.35 2.54427420004
13700 2.26773986748e-05 6.23042572767e-09 6.59644213153 5.76837518884e-08 0.000141913524525 2.0 0.35 2.54427870214
13800 2.26772325118e-05 6.22791471309e-09 6.59647956428 5.58380082618e-08 0.000141914564369 2.0 0.35 2.54428308244
13900 2.26770715397e-05 6.22547379419e-09 6.59651579921 5.40505323655e-08 0.000141915571742 2.0 0.35 2.5442873444
14000 2.26769155943e-05 6.22310087596e-09 6.59655087412 5.23194816672e-08 0.000141916547672 2.0 0.35 2.54429149135
14100 2.26767645165e-05 6.22079393032e-09 6.59658482561 5.06430735646e-08 0.000141917493153 2.0 0.35 2.54429552655
14200 2.26766181524e-05 6.21855099386e-09 6.59661768913 4.90195829525e-08 0.000141918409146 2.0 0.35 2.54429945313
14300 2.26764763532e-05 6.21637016562e-09 6.59664949902 4.74473391163e-08 0.000141919296581 2.0 0.35 2.54430327416
14400 2.26763389746e-05 6.21424960486e-09 6.59668028853 4.59247235705e-08 0.000141920156362 2.0 0.35 2.54430699262
14500 2.26762058773e-05 6.21218752913e-09 6.59671008985 4.44501716653e-08 0.000141920989358 2.0 0.35 2.54431061138
14600 2.26760769261e-05 6.21018221216e-09 6.59673893417 4.30221669251e-08 0.000141921796415 2.0 0.35 2.54431413325
14700 2.26759519905e-05 6.20823198205e-09 6.59676685169 4.16392418492e-08 0.000141922578348 2.0 0.35 2.54431756095
14800 2.26758309438e-05 6.20633521935e-09 6.59679387166 4.02999748087e-08 0.000141923335951 2.0 0.35 2.54432089712
14900 2.26757136638e-05 6.20449035539e-09 6.59682002241 3.90029912518e-08 0.000141924069986 2.0 0.35 2.54432414434
15000 2.26756000318e-05 6.20269587049e-09 6.59684533138 3.77469580437e-08 0.000141924781196 2.0 0.35 2.54432730509
15100 2.26754899331e-05 6.20095029231e-09 6.59686982515 3.65305849422e-08 0.000141925470298 2.0 0.35 2.54433038179
15200 2.26753832567e-05 6.19925219439e-09 6.59689352943 3.53526241886e-08 0.000141926137987 2.0 0.35 2.54433337679
15300 2.26752798951e-05 6.19760019447e-09 6.59691646918 3.42118663293e-08 0.000141926784934 2.0 0.35 2.54433629238
15400 2.26751797442e-05 6.19599295313e-09 6.59693866851 3.31071398078e-08 0.000141927411791 2.0 0.35 2.54433913078
15500 2.26750827033e-05 6.19442917235e-09 6.59696015083 3.20373117679e-08 0.000141928019188 2.0 0.35 2.54434189414
15600 2.26749886747e-05 6.1929075941e-09 6.59698093877 3.10012833378e-08 0.000141928607735 2.0 0.35 2.54434458455
15700 2.2674897564e-05 6.19142699908e-09 6.59700105428 2.99979923194e-08 0.000141929178022 2.0 0.35 2.54434720403
15800 2.26748092799e-05 6.18998620542e-09 6.59702051859 2.90264079339e-08 0.000141929730622 2.0 0.35 2.54434975458
15900 2.26747237337e-05 6.18858406749e-09 6.59703935228 2.80855345881e-08 0.000141930266088 2.0 0.35 2.54435223809
16000 2.26746408398e-05 6.18721947467e-09 6.59705757529 2.71744063521e-08 0.000141930784956 2.0 0.35 2.54435465643
16100 2.26745605151e-05 6.18589135023e-09 6.59707520693 2.62920877639e-08 0.000141931287747 2.0 0.35 2.54435701141
16200 2.26744826793e-05 6.18459865027e-09 6.59709226588 2.54376740957e-08 0.000141931774961 2.0 0.35 2.54435930479
16300 2.26744072546e-05 6.18334036259e-09 6.59710877026 2.46102887942e-08 0.000141932247086 2.0 0.35 2.54436153826
16400 2.26743341657e-05 6.18211550573e-09 6.59712473761 2.38090822658e-08 0.000141932704594 2.0 0.35 2.54436371349
16500 2.26742633395e-05 6.18092312792e-09 6.59714018493 2.30332321445e-08 0.00014193314794 2.0 0.35 2.54436583208
16600 2.26741947055e-05 6.17976230619e-09 6.59715512867 2.22819422119e-08 0.000141933577567 2.0 0.35 2.54436789559
16700 2.2674128195e-05 6.17863214539e-09 6.59716958477 2.15544410498e-08 0.000141933993903 2.0 0.35 2.54436990555
16800 2.26740637421e-05 6.17753177735e-09 6.59718356867 2.08499813647e-08 0.000141934397363 2.0 0.35 2.54437186343
16900 2.26740012824e-05 6.17646035998e-09 6.59719709533 2.01678401212e-08 0.000141934788347 2.0 0.35 2.54437377065
17000 2.26739407538e-05 6.17541707645e-09 6.59721017924 1.95073163859e-08 0.000141935167245 2.0 0.35 2.54437562862
17100 2.26738820962e-05 6.17440113443e-09 6.59722283442 1.88677321339e-08 0.000141935534433 2.0 0.35 2.54437743867
17200 2.26738252513e-05 6.17341176524e-09 6.59723507447 1.82484294204e-08 0.000141935890275 2.0 0.35 2.54437920213
17300 2.26737701627e-05 6.17244822314e-09 6.59724691255 1.76487717253e-08 0.000141936235126 2.0 0.35 2.54438092027
17400 2.26737167756e-05 6.17150978465e-09 6.59725836142 1.70681430101e-08 0.000141936569326 2.0 0.35 2.54438259432
17500 2.26736650372e-05 6.17059574775e-09 6.59726943343 1.6505945158e-08 0.000141936893207 2.0 0.35 2.54438422549
17600 2.26736148962e-05 6.1697054313e-09 6.59728014053 1.59616006664e-08 0.00014193720709 2.0 0.35 2.54438581496
17700 2.26735663029e-05 6.16883817434e-09 6.59729049433 1.54345494141e-08 0.000141937511285 2.0 0.35 2.54438736384
17800 2.26735192092e-05 6.16799333546e-09 6.59730050603 1.49242471795e-08 0.000141937806094 2.0 0.35 2.54438887326
17900 2.26734735685e-05 6.16717029218e-09 6.59731018653 1.44301702175e-08 0.000141938091809 2.0 0.35 2.54439034427
18000 2.26734293358e-05 6.16636844041e-09 6.59731954634 1.39518081231e-08 0.000141938368711 2.0 0.35 2.54439177793
18100 2.26733864673e-05 6.16558719382e-09 6.59732859568 1.34886685424e-08 0.000141938637073 2.0 0.35 2.54439317524
18200 2.26733449206e-05 6.16482598331e-09 6.59733734442 1.30402734029e-08 0.000141938897162 2.0 0.35 2.54439453718
18300 2.26733046548e-05 6.16408425648e-09 6.59734580212 1.26061605276e-08 0.000141939149233 2.0 0.35 2.54439586472
18400 2.26732656301e-05 6.16336147711e-09 6.59735397808 1.21858809425e-08 0.000141939393535 2.0 0.35 2.54439715877
18500 2.26732278082e-05 6.16265712469e-09 6.59736188126 1.17790011641e-08 0.000141939630309 2.0 0.35 2.54439842025
18600 2.26731911516e-05 6.16197069384e-09 6.59736952036 1.13851005068e-08 0.000141939859788 2.0 0.35 2.54439965003
18700 2.26731556242e-05 6.16130169395e-09 6.59737690381 1.1003771082e-08 0.000141940082199 2.0 0.35 2.54440084896
18800 2.26731211912e-05 6.16064964872e-09 6.59738403977 1.06346195479e-08 0.000141940297759 2.0 0.35 2.54440201786
18900 2.26730878187e-05 6.16001409563e-09 6.59739093614 1.0277262801e-08 0.00014194050668 2.0 0.35 2.54440315755
19000 2.26730554738e-05 6.15939458561e-09 6.59739760058 9.93133093735e-09 0.00014194070917 2.0 0.35 2.5444042688
19100 2.26730241247e-05 6.15879068257e-09 6.59740404051 9.59646509832e-09 0.000141940905426 2.0 0.35 2.54440535237
19200 2.26729937406e-05 6.15820196305e-09 6.59741026312 9.27231760465e-09 0.000141941095641 2.0 0.35 2.54440640901
19300 2.26729642917e-05 6.15762801581e-09 6.59741627535 8.95855262929e-09 0.000141941280002 2.0 0.35 2.54440743942
19400 2.26729357491e-05 6.15706844146e-09 6.59742208395 8.65484458159e-09 0.000141941458689 2.0 0.35 2.54440844431
19500 2.26729080848e-05 6.15652285209e-09 6.59742769545 8.36087595294e-09 0.000141941631879 2.0 0.35 2.54440942435
19600 2.26728812716e-05 6.15599087094e-09 6.59743311617 8.076342163e-09 0.000141941799741 2.0 0.35 2.54441038021
19700 2.26728552833e-05 6.15547213207e-09 6.59743835224 7.80094644365e-09 0.000141941962439 2.0 0.35 2.54441131252
19800 2.26728300944e-05 6.15496628001e-09 6.59744340958 7.5344015889e-09 0.000141942120132 2.0 0.35 2.54441222191
19900 2.26728056801e-05 6.15447296944e-09 6.59744829395 7.2764294161e-09 0.000141942272977 2.0 0.35 2.54441310897
20000 2.26727820168e-05 6.15399186492e-09 6.59745301091 7.02676116959e-09 0.00014194242112 2.0 0.35 2.54441397431
20100 2.2672759081e-05 6.15352264055e-09 6.59745756585 6.78513469343e-09 0.000141942564709 2.0 0.35 2.54441481849
20200 2.26727368506e-05 6.15306497975e-09 6.59746196398 6.55129860447e-09 0.000141942703883 2.0 0.35 2.54441564206
20300 2.26727153034e-05 6.15261857483e-09 6.59746621038 6.32500636877e-09 0.000141942838779 2.0 0.35 2.54441644558
20400 2.26726944188e-05 6.15218312695e-09 6.59747030992 6.10602195557e-09 0.000141942969528 2.0 0.35 2.54441722955
20500 2.26726741762e-05 6.15175834567e-09 6.59747426737 5.89411512535e-09 0.000141943096257 2.0 0.35 2.5444179945
20600 2.26726545557e-05 6.15134394876e-09 6.59747808731 5.68906317973e-09 0.000141943219092 2.0 0.35 2.54441874092
20700 2.26726355384e-05 6.15093966197e-09 6.59748177419 5.49065028826e-09 0.000141943338151 2.0 0.35 2.5444194693
20800 2.26726171055e-05 6.15054521877e-09 6.59748533233 5.29866735359e-09 0.000141943453551 2.0 0.35 2.54442018009
20900 2.26725992391e-05 6.15016036015e-09 6.59748876589 5.11291228066e-09 0.000141943565405 2.0 0.35 2.54442087377
21000 2.26725819218e-05 6.14978483437e-09 6.59749207893 4.93318863031e-09 0.000141943673821 2.0 0.35 2.54442155077
21100 2.26725651367e-05 6.14941839674e-09 6.59749527535 4.75930656153e-09 0.000141943778906 2.0 0.35 2.54442221153
21200 2.26725488674e-05 6.14906080941e-09 6.59749835894 4.59108161975e-09 0.000141943880762 2.0 0.35 2.54442285647
21300 2.2672533098e-05 6.14871184124e-09 6.59750133339 4.42833621762e-09 0.000141943979488 2.0 0.35 2.54442348599
21400 2.26725178132e-05 6.14837126746e-09 6.59750420224 4.27089640391e-09 0.00014194407518 2.0 0.35 2.54442410049
21500 2.2672502998e-05 6.14803886964e-09 6.59750696895 4.11859576754e-09 0.000141944167932 2.0 0.35 2.54442470036
21600 2.26724886381e-05 6.14771443539e-09 6.59750963684 3.97127193729e-09 0.000141944257834 2.0 0.35 2.54442528597
21700 2.26724747195e-05 6.14739775822e-09 6.59751220915 3.82876738944e-09 0.000141944344974 2.0 0.35 2.54442585769
21800 2.26724612286e-05 6.14708863739e-09 6.59751468901 3.69093092857e-09 0.000141944429436 2.0 0.35 2.54442641588
